Home Team,Home Score,Visitor Score,Visiting Team
Tulane Green Wave,34,3,Charlotte
Kennesaw State,14,31,Western Kentucky Hilltoppers
Jacksonville State,31,21,Liberty Flames
Louisiana Tech Bulldogs,3,9,Sam Houston State
Louisiana-Lafayette Ragin' Cajuns,23,17,Texas State Bobcats
New Mexico State Aggies,13,34,FIU Golden Panthers
Nevada Wolf Pack,13,34,Hawaii Warriors
Washington State Cougars,29,26,San Diego State Aztecs
Cincinnati Bearcats,23,34,Colorado Buffaloes
Kansas Jayhawks,27,29,Kansas State Wildcats
San Jose State Spartans,10,33,Fresno State Bulldogs
SMU Mustangs,28,27,Duke Blue Devils
Auburn Tigers,24,10,Kentucky Wildcats
LSU Tigers,23,38,Texas A&M Aggies
Michigan State Spartans,17,24,Michigan Wolverines
Penn State Nittany Lions,28,13,Wisconsin Badgers
Florida State Seminoles,14,36,Miami Hurricanes
Troy Trojans,31,34,Arkansas State Red Wolves
Utah State Aggies,27,25,Wyoming Cowboys
Utah Utes,14,17,Houston Cougars
West Virginia Mountaineers,31,26,Arizona Wildcats
Louisiana-Monroe Warhawks,17,46,South Alabama
New Mexico Lobos,6,17,Colorado State Rams
Texas Longhorns,27,24,Vanderbilt Commodores
Oregon State Beavers,7,44,Cal Golden Bears
Bowling Green Falcons,41,26,Toledo Rockets
Brigham Young Cougars,37,24,UCF Knights
Eastern Michigan Eagles,21,25,Akron Zips
Illinois Fighting Illini,9,38,Oregon Ducks
Kent State Golden Flashes,21,52,Western Michigan Broncos
Maryland Terrapins,23,48,Minnesota Golden Gophers
Missouri Tigers,0,34,Alabama Crimson Tide
Northern Illinois Huskies,23,25,Ball State Cardinals
Northwestern Wildcats,14,40,Iowa Hawkeyes
Oklahoma State Cowboys,28,38,Baylor Bears
Rice Owls,10,17,Connecticut Huskies
Southern Miss Golden Eagles,15,32,James Madison
Texas Tech Red Raiders,34,35,TCU Horned Frogs
UTSA,45,46,Tulsa Golden Hurricane
Wagner,7,35,UMass Minutemen
Wake Forest Demon Deacons,27,24,Stanford Cardinal
Central Michigan Chippewas,7,46,Miami RedHawks
Temple Owls,34,56,East Carolina Pirates
Georgia State Panthers,26,33,Appalachian State
Arkansas Razorbacks,58,25,Mississippi State Bulldogs
Buffalo Bulls,16,47,Ohio Bobcats
Charlotte,28,33,Memphis Tigers
